Indicator,Location,Period,FactValueNumeric
Age-standardized suicide rates (per 100 000 population),Nigeria,2011,8.65
Age-standardized suicide rates (per 100 000 population),Saint Vincent and the Grenadines,2011,8.67
Age-standardized suicide rates (per 100 000 population),Mali,2011,8.68
Age-standardized suicide rates (per 100 000 population),Saudi Arabia,2011,8.81
Age-standardized suicide rates (per 100 000 population),Liberia,2011,8.84
Age-standardized suicide rates (per 100 000 population),China,2011,8.84
Age-standardized suicide rates (per 100 000 population),Israel,2011,8.88
Age-standardized suicide rates (per 100 000 population),Armenia,2011,8.96
Age-standardized suicide rates (per 100 000 population),Mexico,2011,9.02
Age-standardized suicide rates (per 100 000 population),Yemen,2011,9.06
Age-standardized suicide rates (per 100 000 population),Equatorial Guinea,2011,9.12
Age-standardized suicide rates (per 100 000 population),Cameroon,2011,9.18
Age-standardized suicide rates (per 100 000 population),Vanuatu,2011,9.19
Age-standardized suicide rates (per 100 000 population),Trinidad and Tobago,2011,9.2
Age-standardized suicide rates (per 100 000 population),Dominican Republic,2011,9.21
Age-standardized suicide rates (per 100 000 population),Bahrain,2011,9.22
Age-standardized suicide rates (per 100 000 population),Zambia,2011,9.23
Age-standardized suicide rates (per 100 000 population),Democratic People's Republic of Korea,2011,9.24
Age-standardized suicide rates (per 100 000 population),The former Yugoslav Republic of Macedonia,2011,9.24
Age-standardized suicide rates (per 100 000 population),Germany,2011,9.25
Age-standardized suicide rates (per 100 000 population),Lao People's Democratic Republic,2011,9.26
Age-standardized suicide rates (per 100 000 population),United Republic of Tanzania,2011,9.32
Age-standardized suicide rates (per 100 000 population),Luxembourg,2011,9.32
Age-standardized suicide rates (per 100 000 population),Eritrea,2011,9.42
Age-standardized suicide rates (per 100 000 population),Cambodia,2011,9.46
Age-standardized suicide rates (per 100 000 population),Morocco,2011,9.49
Age-standardized suicide rates (per 100 000 population),Nicaragua,2011,9.49
Age-standardized suicide rates (per 100 000 population),Bolivia (Plurinational State of),2011,9.51
Age-standardized suicide rates (per 100 000 population),Canada,2011,9.63
Age-standardized suicide rates (per 100 000 population),Congo,2011,9.65
Age-standardized suicide rates (per 100 000 population),Denmark,2011,9.67
Age-standardized suicide rates (per 100 000 population),Kazakhstan,2011,9.7
Age-standardized suicide rates (per 100 000 population),Belgium,2011,9.77
Age-standardized suicide rates (per 100 000 population),Russian Federation,2011,9.83
Age-standardized suicide rates (per 100 000 population),Romania,2011,9.86
Age-standardized suicide rates (per 100 000 population),Lesotho,2011,91.07
Age-standardized suicide rates (per 100 000 population),Antigua and Barbuda,2010,0
Age-standardized suicide rates (per 100 000 population),Grenada,2010,0
Age-standardized suicide rates (per 100 000 population),Antigua and Barbuda,2010,0.13
Age-standardized suicide rates (per 100 000 population),Antigua and Barbuda,2010,0.28
Age-standardized suicide rates (per 100 000 population),Barbados,2010,0.3
Age-standardized suicide rates (per 100 000 population),Saint Vincent and the Grenadines,2010,0.5
Age-standardized suicide rates (per 100 000 population),Brunei Darussalam,2010,0.56
Age-standardized suicide rates (per 100 000 population),Greece,2010,0.6
Age-standardized suicide rates (per 100 000 population),Syrian Arab Republic,2010,0.71
Age-standardized suicide rates (per 100 000 population),Grenada,2010,0.73
Age-standardized suicide rates (per 100 000 population),Jamaica,2010,0.87
Age-standardized suicide rates (per 100 000 population),Kuwait,2010,0.98
Age-standardized suicide rates (per 100 000 population),Maldives,2010,1.01
Age-standardized suicide rates (per 100 000 population),Honduras,2010,1.03
Age-standardized suicide rates (per 100 000 population),Jordan,2010,1.03
Age-standardized suicide rates (per 100 000 population),Venezuela (Bolivarian Republic of),2010,1.06
Age-standardized suicide rates (per 100 000 population),Panama,2010,1.1
Age-standardized suicide rates (per 100 000 population),Malta,2010,1.12
Age-standardized suicide rates (per 100 000 population),Brunei Darussalam,2010,1.14
Age-standardized suicide rates (per 100 000 population),Barbados,2010,1.22
Age-standardized suicide rates (per 100 000 population),Bahamas,2010,1.25
Age-standardized suicide rates (per 100 000 population),Sao Tome and Principe,2010,1.27
Age-standardized suicide rates (per 100 000 population),Turkey,2010,1.32
Age-standardized suicide rates (per 100 000 population),Seychelles,2010,1.47
Age-standardized suicide rates (per 100 000 population),Indonesia,2010,1.49
Age-standardized suicide rates (per 100 000 population),Colombia,2010,1.49
Age-standardized suicide rates (per 100 000 population),Philippines,2010,1.53
Age-standardized suicide rates (per 100 000 population),Oman,2010,1.6
Age-standardized suicide rates (per 100 000 population),Saint Lucia,2010,1.63
Age-standardized suicide rates (per 100 000 population),Myanmar,2010,1.65
Age-standardized suicide rates (per 100 000 population),Mexico,2010,1.65
Age-standardized suicide rates (per 100 000 population),Brunei Darussalam,2010,1.7
Age-standardized suicide rates (per 100 000 population),Grenada,2010,1.72
Age-standardized suicide rates (per 100 000 population),Papua New Guinea,2010,1.75
Age-standardized suicide rates (per 100 000 population),Syrian Arab Republic,2010,1.81
Age-standardized suicide rates (per 100 000 population),Dominican Republic,2010,1.84
Age-standardized suicide rates (per 100 000 population),Lebanon,2010,1.87
Age-standardized suicide rates (per 100 000 population),Azerbaijan,2010,1.87
Age-standardized suicide rates (per 100 000 population),Cyprus,2010,1.87
Age-standardized suicide rates (per 100 000 population),Costa Rica,2010,1.89
Age-standardized suicide rates (per 100 000 population),Peru,2010,1.96
Age-standardized suicide rates (per 100 000 population),Jamaica,2010,1.97
Age-standardized suicide rates (per 100 000 population),Kazakhstan,2010,10.11
Age-standardized suicide rates (per 100 000 population),Fiji,2010,10.12
Age-standardized suicide rates (per 100 000 population),Pakistan,2010,10.16
Age-standardized suicide rates (per 100 000 population),Mozambique,2010,10.17
Age-standardized suicide rates (per 100 000 population),Madagascar,2010,10.18
Age-standardized suicide rates (per 100 000 population),Ecuador,2010,10.18
Age-standardized suicide rates (per 100 000 population),South Sudan,2010,10.23
Age-standardized suicide rates (per 100 000 population),Canada,2010,10.26
Age-standardized suicide rates (per 100 000 population),Kiribati,2010,10.29
Age-standardized suicide rates (per 100 000 population),Japan,2010,10.29
Age-standardized suicide rates (per 100 000 population),Russian Federation,2010,10.29
Age-standardized suicide rates (per 100 000 population),Congo,2010,10.37
Age-standardized suicide rates (per 100 000 population),Niger,2010,10.39
Age-standardized suicide rates (per 100 000 population),Australia,2010,10.41
Age-standardized suicide rates (per 100 000 population),Botswana,2010,10.47
Age-standardized suicide rates (per 100 000 population),Nepal,2010,10.52
Age-standardized suicide rates (per 100 000 population),Switzerland,2010,10.54
Age-standardized suicide rates (per 100 000 population),Trinidad and Tobago,2010,10.59
Age-standardized suicide rates (per 100 000 population),Liberia,2010,10.6
Age-standardized suicide rates (per 100 000 population),Gambia,2010,10.64
Age-standardized suicide rates (per 100 000 population),Viet Nam,2010,10.69
Age-standardized suicide rates (per 100 000 population),Romania,2010,10.71
Age-standardized suicide rates (per 100 000 population),United Kingdom of Great Britain and Northern Ireland,2010,10.81
Age-standardized suicide rates (per 100 000 population),Haiti,2010,10.82
Age-standardized suicide rates (per 100 000 population),Singapore,2010,10.83
Age-standardized suicide rates (per 100 000 population),Norway,2010,10.89
Age-standardized suicide rates (per 100 000 population),Chile,2010,11.01
Age-standardized suicide rates (per 100 000 population),Israel,2010,11.05
Age-standardized suicide rates (per 100 000 population),Slovakia,2010,11.14
Age-standardized suicide rates (per 100 000 population),Ireland,2010,11.17
Age-standardized suicide rates (per 100 000 population),Mali,2010,11.22
Age-standardized suicide rates (per 100 000 population),Cuba,2010,11.45
Age-standardized suicide rates (per 100 000 population),Netherlands,2010,11.5
Age-standardized suicide rates (per 100 000 population),Rwanda,2010,11.5
Age-standardized suicide rates (per 100 000 population),Sri Lanka,2010,11.5
Age-standardized suicide rates (per 100 000 population),Democratic People's Republic of Korea,2010,11.54
Age-standardized suicide rates (per 100 000 population),China,2010,11.54
Age-standardized suicide rates (per 100 000 population),El Salvador,2010,11.65
Age-standardized suicide rates (per 100 000 population),Thailand,2010,11.69
Age-standardized suicide rates (per 100 000 population),Costa Rica,2010,11.71
Age-standardized suicide rates (per 100 000 population),United States of America,2010,11.72
Age-standardized suicide rates (per 100 000 population),Djibouti,2010,11.72
Age-standardized suicide rates (per 100 000 population),Iceland,2010,11.79
Age-standardized suicide rates (per 100 000 population),Comoros,2010,11.85
Age-standardized suicide rates (per 100 000 population),Kenya,2010,11.85
Age-standardized suicide rates (per 100 000 population),Czechia,2010,11.93
Age-standardized suicide rates (per 100 000 population),Eswatini,2010,119.1
Age-standardized suicide rates (per 100 000 population),Sweden,2010,12.01
Age-standardized suicide rates (per 100 000 population),New Zealand,2010,12.02
Age-standardized suicide rates (per 100 000 population),Mauritius,2010,12.02
Age-standardized suicide rates (per 100 000 population),Malta,2010,12.04
Age-standardized suicide rates (per 100 000 population),Micronesia (Federated States of),2010,12.06
Age-standardized suicide rates (per 100 000 population),Suriname,2010,12.12
Age-standardized suicide rates (per 100 000 population),Sierra Leone,2010,12.16
Age-standardized suicide rates (per 100 000 population),Austria,2010,12.21
Age-standardized suicide rates (per 100 000 population),Central African Republic,2010,12.29
Age-standardized suicide rates (per 100 000 population),Senegal,2010,12.37
Age-standardized suicide rates (per 100 000 population),Kyrgyzstan,2010,12.39
Age-standardized suicide rates (per 100 000 population),Serbia,2010,12.42
Age-standardized suicide rates (per 100 000 population),Guinea,2010,12.47
Age-standardized suicide rates (per 100 000 population),Uzbekistan,2010,12.56
Age-standardized suicide rates (per 100 000 population),Georgia,2010,12.67
Age-standardized suicide rates (per 100 000 population),Morocco,2010,12.86
Age-standardized suicide rates (per 100 000 population),Denmark,2010,13.06
Age-standardized suicide rates (per 100 000 population),Ethiopia,2010,13.1
Age-standardized suicide rates (per 100 000 population),South Africa,2010,13.11
Age-standardized suicide rates (per 100 000 population),India,2010,13.16
Age-standardized suicide rates (per 100 000 population),Croatia,2010,13.2
Age-standardized suicide rates (per 100 000 population),Haiti,2010,13.2
Age-standardized suicide rates (per 100 000 population),Nigeria,2010,13.24
Age-standardized suicide rates (per 100 000 population),Ghana,2010,13.26
Age-standardized suicide rates (per 100 000 population),Seychelles,2010,13.39
Age-standardized suicide rates (per 100 000 population),Democratic Republic of the Congo,2010,13.5
Age-standardized suicide rates (per 100 000 population),Turkmenistan,2010,13.66
Age-standardized suicide rates (per 100 000 population),Bosnia and Herzegovina,2010,13.66
Age-standardized suicide rates (per 100 000 population),Fiji,2010,13.75
Age-standardized suicide rates (per 100 000 population),Bulgaria,2010,13.83
Age-standardized suicide rates (per 100 000 population),France,2010,13.89
Age-standardized suicide rates (per 100 000 population),Saint Lucia,2010,13.96
Age-standardized suicide rates (per 100 000 population),Benin,2010,14.14
Age-standardized suicide rates (per 100 000 population),Angola,2010,14.21
Age-standardized suicide rates (per 100 000 population),Belize,2010,14.26
Age-standardized suicide rates (per 100 000 population),Uruguay,2010,14.26
Age-standardized suicide rates (per 100 000 population),Argentina,2010,14.31
Age-standardized suicide rates (per 100 000 population),Luxembourg,2010,14.36
Age-standardized suicide rates (per 100 000 population),Niger,2010,14.37
Age-standardized suicide rates (per 100 000 population),Portugal,2010,14.41
Age-standardized suicide rates (per 100 000 population),Guatemala,2010,14.58
Age-standardized suicide rates (per 100 000 population),Uganda,2010,14.64
Age-standardized suicide rates (per 100 000 population),Gambia,2010,14.7
Age-standardized suicide rates (per 100 000 population),Germany,2010,14.8
Age-standardized suicide rates (per 100 000 population),Madagascar,2010,14.82
Age-standardized suicide rates (per 100 000 population),Samoa,2010,14.83
Age-standardized suicide rates (per 100 000 population),Pakistan,2010,14.89
Age-standardized suicide rates (per 100 000 population),Burundi,2010,14.92
Age-standardized suicide rates (per 100 000 population),Ecuador,2010,15.08
Age-standardized suicide rates (per 100 000 population),Switzerland,2010,15.09
Age-standardized suicide rates (per 100 000 population),Norway,2010,15.13
Age-standardized suicide rates (per 100 000 population),Canada,2010,15.14
Age-standardized suicide rates (per 100 000 population),Equatorial Guinea,2010,15.27
Age-standardized suicide rates (per 100 000 population),Somalia,2010,15.38
Age-standardized suicide rates (per 100 000 population),Guinea-Bissau,2010,15.39
Age-standardized suicide rates (per 100 000 population),Estonia,2010,15.42
Age-standardized suicide rates (per 100 000 population),Poland,2010,15.51
Age-standardized suicide rates (per 100 000 population),India,2010,15.56
Age-standardized suicide rates (per 100 000 population),Slovenia,2010,15.56
Age-standardized suicide rates (per 100 000 population),United Republic of Tanzania,2010,15.63
Age-standardized suicide rates (per 100 000 population),Gabon,2010,15.77
Age-standardized suicide rates (per 100 000 population),Congo,2010,15.79
Age-standardized suicide rates (per 100 000 population),Burkina Faso,2010,15.82
Age-standardized suicide rates (per 100 000 population),Guyana,2010,15.83
Age-standardized suicide rates (per 100 000 population),Australia,2010,15.94
Age-standardized suicide rates (per 100 000 population),Chad,2010,15.97
Age-standardized suicide rates (per 100 000 population),Lesotho,2010,152.7
Age-standardized suicide rates (per 100 000 population),Malawi,2010,16.03
Age-standardized suicide rates (per 100 000 population),Haiti,2010,16.05
Age-standardized suicide rates (per 100 000 population),Djibouti,2010,16.17
Age-standardized suicide rates (per 100 000 population),Sierra Leone,2010,16.42
Age-standardized suicide rates (per 100 000 population),Finland,2010,16.44
Age-standardized suicide rates (per 100 000 population),Montenegro,2010,16.52
Age-standardized suicide rates (per 100 000 population),Belgium,2010,16.52
Age-standardized suicide rates (per 100 000 population),Trinidad and Tobago,2010,16.92
Age-standardized suicide rates (per 100 000 population),Sweden,2010,17.2
Age-standardized suicide rates (per 100 000 population),Rwanda,2010,17.22
Age-standardized suicide rates (per 100 000 population),Ireland,2010,17.48
Age-standardized suicide rates (per 100 000 population),New Zealand,2010,17.55
Age-standardized suicide rates (per 100 000 population),Republic of Moldova,2010,17.64
Age-standardized suicide rates (per 100 000 population),India,2010,17.96
Age-standardized suicide rates (per 100 000 population),Namibia,2010,17.99
Age-standardized suicide rates (per 100 000 population),Iceland,2010,18.18
Age-standardized suicide rates (per 100 000 population),Togo,2010,18.2
Age-standardized suicide rates (per 100 000 population),Chile,2010,18.27
Age-standardized suicide rates (per 100 000 population),Cabo Verde,2010,18.44
Age-standardized suicide rates (per 100 000 population),Guinea,2010,18.48
Age-standardized suicide rates (per 100 000 population),Romania,2010,18.5
Age-standardized suicide rates (per 100 000 population),United States of America,2010,18.52
Age-standardized suicide rates (per 100 000 population),Cuba,2010,18.55
Age-standardized suicide rates (per 100 000 population),Nepal,2010,18.58
Age-standardized suicide rates (per 100 000 population),Latvia,2010,18.59
Age-standardized suicide rates (per 100 000 population),Solomon Islands,2010,18.6
Age-standardized suicide rates (per 100 000 population),Republic of Korea,2010,18.63
Age-standardized suicide rates (per 100 000 population),Japan,2010,18.81
Age-standardized suicide rates (per 100 000 population),Kenya,2010,19
Age-standardized suicide rates (per 100 000 population),Ethiopia,2010,19.12
Age-standardized suicide rates (per 100 000 population),Hungary,2010,19.17
Age-standardized suicide rates (per 100 000 population),Cameroon,2010,19.51
Age-standardized suicide rates (per 100 000 population),Austria,2010,19.58
Age-standardized suicide rates (per 100 000 population),Zambia,2010,19.71
Age-standardized suicide rates (per 100 000 population),Jordan,2010,2.02
Age-standardized suicide rates (per 100 000 population),Georgia,2010,2.08
Age-standardized suicide rates (per 100 000 population),Tunisia,2010,2.1
Age-standardized suicide rates (per 100 000 population),El Salvador,2010,2.1
Age-standardized suicide rates (per 100 000 population),Italy,2010,2.1
Age-standardized suicide rates (per 100 000 population),Saudi Arabia,2010,2.11
Age-standardized suicide rates (per 100 000 population),Qatar,2010,2.13
Age-standardized suicide rates (per 100 000 population),Belize,2010,2.14
Age-standardized suicide rates (per 100 000 population),Sao Tome and Principe,2010,2.18
Age-standardized suicide rates (per 100 000 population),Algeria,2010,2.19
Age-standardized suicide rates (per 100 000 population),Spain,2010,2.21
Age-standardized suicide rates (per 100 000 population),Paraguay,2010,2.22
Age-standardized suicide rates (per 100 000 population),Barbados,2010,2.24
Age-standardized suicide rates (per 100 000 population),Israel,2010,2.35
Age-standardized suicide rates (per 100 000 population),Nicaragua,2010,2.36
Age-standardized suicide rates (per 100 000 population),Brazil,2010,2.4
Age-standardized suicide rates (per 100 000 population),Kuwait,2010,2.43
Age-standardized suicide rates (per 100 000 population),Egypt,2010,2.47
Age-standardized suicide rates (per 100 000 population),Bangladesh,2010,2.47
Age-standardized suicide rates (per 100 000 population),Turkey,2010,2.47
Age-standardized suicide rates (per 100 000 population),Timor-Leste,2010,2.52
Age-standardized suicide rates (per 100 000 population),Malaysia,2010,2.53
Age-standardized suicide rates (per 100 000 population),Solomon Islands,2010,2.63
Age-standardized suicide rates (per 100 000 population),Honduras,2010,2.66
Age-standardized suicide rates (per 100 000 population),Greece,2010,2.72
Age-standardized suicide rates (per 100 000 population),Saint Vincent and the Grenadines,2010,2.88
Age-standardized suicide rates (per 100 000 population),Armenia,2010,2.89
Age-standardized suicide rates (per 100 000 population),Philippines,2010,2.89
Age-standardized suicide rates (per 100 000 population),Indonesia,2010,2.92
Age-standardized suicide rates (per 100 000 population),Syrian Arab Republic,2010,2.93
Age-standardized suicide rates (per 100 000 population),Bahrain,2010,2.98
Age-standardized suicide rates (per 100 000 population),Mauritius,2010,2.98
Age-standardized suicide rates (per 100 000 population),Nepal,2010,2.99
Age-standardized suicide rates (per 100 000 population),Côte d’Ivoire,2010,20.01
Age-standardized suicide rates (per 100 000 population),Serbia,2010,20.02
Age-standardized suicide rates (per 100 000 population),Slovakia,2010,20.09
Age-standardized suicide rates (per 100 000 population),Ukraine,2010,20.17
Age-standardized suicide rates (per 100 000 population),Czechia,2010,20.41
Age-standardized suicide rates (per 100 000 population),Senegal,2010,20.52
Age-standardized suicide rates (per 100 000 population),Eritrea,2010,20.53
Age-standardized suicide rates (per 100 000 population),Kyrgyzstan,2010,20.61
Age-standardized suicide rates (per 100 000 population),Equatorial Guinea,2010,20.8
Age-standardized suicide rates (per 100 000 population),France,2010,21.21
Age-standardized suicide rates (per 100 000 population),Samoa,2010,21.44
Age-standardized suicide rates (per 100 000 population),Croatia,2010,21.49
Age-standardized suicide rates (per 100 000 population),Sri Lanka,2010,21.87
Age-standardized suicide rates (per 100 000 population),Vanuatu,2010,22.15
Age-standardized suicide rates (per 100 000 population),Democratic Republic of the Congo,2010,22.33
Age-standardized suicide rates (per 100 000 population),Mongolia,2010,22.4
Age-standardized suicide rates (per 100 000 population),Burundi,2010,22.42
Age-standardized suicide rates (per 100 000 population),Congo,2010,22.77
Age-standardized suicide rates (per 100 000 population),Benin,2010,22.87
Age-standardized suicide rates (per 100 000 population),Uruguay,2010,23.32
Age-standardized suicide rates (per 100 000 population),Zimbabwe,2010,23.88
Age-standardized suicide rates (per 100 000 population),Somalia,2010,23.89
Age-standardized suicide rates (per 100 000 population),Angola,2010,23.92
Age-standardized suicide rates (per 100 000 population),Belgium,2010,24.03
Age-standardized suicide rates (per 100 000 population),Ghana,2010,24.39
Age-standardized suicide rates (per 100 000 population),Chad,2010,24.8
Age-standardized suicide rates (per 100 000 population),Finland,2010,25.08
Age-standardized suicide rates (per 100 000 population),Guinea-Bissau,2010,25.26
Age-standardized suicide rates (per 100 000 population),Mozambique,2010,25.31
Age-standardized suicide rates (per 100 000 population),Montenegro,2010,25.72
Age-standardized suicide rates (per 100 000 population),Slovenia,2010,26.67
Age-standardized suicide rates (per 100 000 population),Burkina Faso,2010,26.85
Age-standardized suicide rates (per 100 000 population),South Africa,2010,26.92
Age-standardized suicide rates (per 100 000 population),Micronesia (Federated States of),2010,26.99
Age-standardized suicide rates (per 100 000 population),Uganda,2010,27.21
Age-standardized suicide rates (per 100 000 population),Gabon,2010,27.37
Age-standardized suicide rates (per 100 000 population),Japan,2010,27.38
Age-standardized suicide rates (per 100 000 population),Suriname,2010,27.42
Age-standardized suicide rates (per 100 000 population),Estonia,2010,27.57
Age-standardized suicide rates (per 100 000 population),Malawi,2010,27.75
Age-standardized suicide rates (per 100 000 population),Republic of Korea,2010,27.98
Age-standardized suicide rates (per 100 000 population),Poland,2010,28.02
Age-standardized suicide rates (per 100 000 population),Central African Republic,2010,28.12
Age-standardized suicide rates (per 100 000 population),Togo,2010,29.01
Age-standardized suicide rates (per 100 000 population),Eswatini,2010,29.05
Age-standardized suicide rates (per 100 000 population),Kazakhstan,2010,29.41
Age-standardized suicide rates (per 100 000 population),Belarus,2010,29.89
Age-standardized suicide rates (per 100 000 population),Algeria,2010,3
Age-standardized suicide rates (per 100 000 population),Jordan,2010,3
Age-standardized suicide rates (per 100 000 population),Tajikistan,2010,3.01
Age-standardized suicide rates (per 100 000 population),Ghana,2010,3.03
Age-standardized suicide rates (per 100 000 population),Lebanon,2010,3.04
Age-standardized suicide rates (per 100 000 population),Maldives,2010,3.05
Age-standardized suicide rates (per 100 000 population),Slovakia,2010,3.07
Age-standardized suicide rates (per 100 000 population),Argentina,2010,3.11
Age-standardized suicide rates (per 100 000 population),United Arab Emirates,2010,3.14
Age-standardized suicide rates (per 100 000 population),Jamaica,2010,3.14
Age-standardized suicide rates (per 100 000 population),The former Yugoslav Republic of Macedonia,2010,3.15
Age-standardized suicide rates (per 100 000 population),Iraq,2010,3.16
Age-standardized suicide rates (per 100 000 population),Sao Tome and Principe,2010,3.17
Age-standardized suicide rates (per 100 000 population),Thailand,2010,3.17
Age-standardized suicide rates (per 100 000 population),Bhutan,2010,3.18
Age-standardized suicide rates (per 100 000 population),United Kingdom of Great Britain and Northern Ireland,2010,3.18
Age-standardized suicide rates (per 100 000 population),Papua New Guinea,2010,3.29
Age-standardized suicide rates (per 100 000 population),Tunisia,2010,3.37
Age-standardized suicide rates (per 100 000 population),Romania,2010,3.38
Age-standardized suicide rates (per 100 000 population),Kuwait,2010,3.4
Age-standardized suicide rates (per 100 000 population),Guatemala,2010,3.42
Age-standardized suicide rates (per 100 000 population),Tonga,2010,3.45
Age-standardized suicide rates (per 100 000 population),Bosnia and Herzegovina,2010,3.45
Age-standardized suicide rates (per 100 000 population),South Sudan,2010,3.46
Age-standardized suicide rates (per 100 000 population),Sudan,2010,3.47
Age-standardized suicide rates (per 100 000 population),Libya,2010,3.58
Age-standardized suicide rates (per 100 000 population),Cambodia,2010,3.6
Age-standardized suicide rates (per 100 000 population),Venezuela (Bolivarian Republic of),2010,3.6
Age-standardized suicide rates (per 100 000 population),Egypt,2010,3.62
Age-standardized suicide rates (per 100 000 population),Peru,2010,3.63
Age-standardized suicide rates (per 100 000 population),Bulgaria,2010,3.63
Age-standardized suicide rates (per 100 000 population),Bahamas,2010,3.66
Age-standardized suicide rates (per 100 000 population),Turkey,2010,3.74
Age-standardized suicide rates (per 100 000 population),Poland,2010,3.74
Age-standardized suicide rates (per 100 000 population),Myanmar,2010,3.75
Age-standardized suicide rates (per 100 000 population),Iran (Islamic Republic of),2010,3.76
Age-standardized suicide rates (per 100 000 population),Algeria,2010,3.81
Age-standardized suicide rates (per 100 000 population),Paraguay,2010,3.82
Age-standardized suicide rates (per 100 000 population),Colombia,2010,3.85
Age-standardized suicide rates (per 100 000 population),Czechia,2010,3.88
Age-standardized suicide rates (per 100 000 population),Turkmenistan,2010,3.98
Age-standardized suicide rates (per 100 000 population),Lesotho,2010,30.74
Age-standardized suicide rates (per 100 000 population),Cameroon,2010,30.93
Age-standardized suicide rates (per 100 000 population),Botswana,2010,31.2
Age-standardized suicide rates (per 100 000 population),Lithuania,2010,31.32
Age-standardized suicide rates (per 100 000 population),Côte d’Ivoire,2010,31.45
Age-standardized suicide rates (per 100 000 population),Republic of Moldova,2010,32.01
Age-standardized suicide rates (per 100 000 population),Cabo Verde,2010,32.02
Age-standardized suicide rates (per 100 000 population),Namibia,2010,32.29
Age-standardized suicide rates (per 100 000 population),Eritrea,2010,32.48
Age-standardized suicide rates (per 100 000 population),Hungary,2010,32.64
Age-standardized suicide rates (per 100 000 population),Kiribati,2010,32.65
Age-standardized suicide rates (per 100 000 population),Russian Federation,2010,33.01
Age-standardized suicide rates (per 100 000 population),Zambia,2010,33.26
Age-standardized suicide rates (per 100 000 population),Sri Lanka,2010,33.55
Age-standardized suicide rates (per 100 000 population),Solomon Islands,2010,34.53
Age-standardized suicide rates (per 100 000 population),Vanuatu,2010,34.8
Age-standardized suicide rates (per 100 000 population),Zimbabwe,2010,35.01
Age-standardized suicide rates (per 100 000 population),Latvia,2010,35.59
Age-standardized suicide rates (per 100 000 population),Guyana,2010,36.37
Age-standardized suicide rates (per 100 000 population),Ukraine,2010,37.33
Age-standardized suicide rates (per 100 000 population),Mongolia,2010,37.75
Age-standardized suicide rates (per 100 000 population),Republic of Korea,2010,39.16
Age-standardized suicide rates (per 100 000 population),Latvia,2010,4.04
Age-standardized suicide rates (per 100 000 population),Mauritania,2010,4.05
Age-standardized suicide rates (per 100 000 population),Timor-Leste,2010,4.15
Age-standardized suicide rates (per 100 000 population),Lebanon,2010,4.17
Age-standardized suicide rates (per 100 000 population),Portugal,2010,4.2
Age-standardized suicide rates (per 100 000 population),Viet Nam,2010,4.22
Age-standardized suicide rates (per 100 000 population),Chile,2010,4.22
Age-standardized suicide rates (per 100 000 population),Uzbekistan,2010,4.29
Age-standardized suicide rates (per 100 000 population),Philippines,2010,4.32
Age-standardized suicide rates (per 100 000 population),Panama,2010,4.33
Age-standardized suicide rates (per 100 000 population),Indonesia,2010,4.38
Age-standardized suicide rates (per 100 000 population),Lao People's Democratic Republic,2010,4.44
Age-standardized suicide rates (per 100 000 population),Honduras,2010,4.48
Age-standardized suicide rates (per 100 000 population),Germany,2010,4.51
Age-standardized suicide rates (per 100 000 population),Azerbaijan,2010,4.53
Age-standardized suicide rates (per 100 000 population),Trinidad and Tobago,2010,4.54
Age-standardized suicide rates (per 100 000 population),Estonia,2010,4.61
Age-standardized suicide rates (per 100 000 population),Cyprus,2010,4.63
Age-standardized suicide rates (per 100 000 population),Nigeria,2010,4.66
Age-standardized suicide rates (per 100 000 population),Mexico,2010,4.66
Age-standardized suicide rates (per 100 000 population),Netherlands,2010,4.67
Age-standardized suicide rates (per 100 000 population),Bolivia (Plurinational State of),2010,4.71
Age-standardized suicide rates (per 100 000 population),Maldives,2010,4.71
Age-standardized suicide rates (per 100 000 population),Tunisia,2010,4.72
Age-standardized suicide rates (per 100 000 population),Cuba,2010,4.75
Age-standardized suicide rates (per 100 000 population),Kyrgyzstan,2010,4.78
Age-standardized suicide rates (per 100 000 population),Egypt,2010,4.8
Age-standardized suicide rates (per 100 000 population),Bangladesh,2010,4.82
Age-standardized suicide rates (per 100 000 population),Italy,2010,4.82
Age-standardized suicide rates (per 100 000 population),Luxembourg,2010,4.87
Age-standardized suicide rates (per 100 000 population),Papua New Guinea,2010,4.88
Age-standardized suicide rates (per 100 000 population),Ireland,2010,4.9
Age-standardized suicide rates (per 100 000 population),Australia,2010,4.92
Age-standardized suicide rates (per 100 000 population),Denmark,2010,4.93
Age-standardized suicide rates (per 100 000 population),Greece,2010,4.94
Age-standardized suicide rates (per 100 000 population),Republic of Moldova,2010,4.97
Age-standardized suicide rates (per 100 000 population),Tajikistan,2010,4.98
Age-standardized suicide rates (per 100 000 population),Micronesia (Federated States of),2010,41.78
Age-standardized suicide rates (per 100 000 population),South Africa,2010,41.85
Age-standardized suicide rates (per 100 000 population),Suriname,2010,43.66
Age-standardized suicide rates (per 100 000 population),Mozambique,2010,45.8
Age-standardized suicide rates (per 100 000 population),Central African Republic,2010,47.13
Age-standardized suicide rates (per 100 000 population),Brazil,2010,5
Age-standardized suicide rates (per 100 000 population),Spain,2010,5.05
Age-standardized suicide rates (per 100 000 population),Slovenia,2010,5.1
Age-standardized suicide rates (per 100 000 population),Sudan,2010,5.15
Age-standardized suicide rates (per 100 000 population),Pakistan,2010,5.17
Age-standardized suicide rates (per 100 000 population),Saint Vincent and the Grenadines,2010,5.17
Age-standardized suicide rates (per 100 000 population),United States of America,2010,5.18
